customer_id,region,customer_type
1,East,Wholesale
2,West,Retail
3,East,Wholesale
4,North,Retail
5,South,Retail
6,North,Retail
7,North,Wholesale
8,East,Retail
9,Central,Retail
10,East,Retail
11,South,Wholesale
12,North,Retail
13,Central,Retail
14,Central,Retail
15,West,Retail
16,Central,Retail
17,South,Retail
18,South,Retail
19,Central,Retail
20,Central,Retail
21,South,Retail
22,Central,Retail
23,West,Retail
24,South,Retail
25,North,Retail
26,West,Retail
27,West,Wholesale
28,South,Retail
29,North,Retail
30,West,Wholesale
31,Central,Retail
32,East,Retail
33,North,Wholesale
34,Central,Retail
35,South,Retail
36,North,Retail
37,North,Retail
38,East,Retail
39,West,Retail
40,East,Retail
41,West,Wholesale
42,Central,Retail
43,Central,Retail
44,South,Retail
45,East,Retail
46,West,Retail
47,West,Retail
48,East,Retail
49,North,Retail
50,Central,Wholesale
51,West,Retail
52,North,Wholesale
53,South,Retail
54,Central,Wholesale
55,Central,Retail
56,Central,Retail
57,East,Wholesale
58,North,Retail
59,West,Retail
60,North,Retail
61,South,Retail
62,North,Retail
63,Central,Retail
64,North,Wholesale
65,North,Retail
66,Central,Retail
67,North,Wholesale
68,East,Retail
69,North,Retail
70,North,Retail
71,Central,Retail
72,South,Retail
73,South,Retail
74,Central,Retail
75,South,Retail
76,North,Retail
77,South,Retail
78,East,Retail
79,North,Retail
80,East,Retail
81,West,Retail
82,South,Wholesale
83,Central,Retail
84,North,Retail
85,Central,Wholesale
86,North,Retail
87,Central,Retail
88,North,Retail
89,West,Retail
90,Central,Retail
91,South,Retail
92,South,Retail
93,South,Retail
94,East,Wholesale
95,Central,Wholesale
96,North,Retail
97,East,Retail
98,West,Wholesale
99,East,Retail
100,West,Wholesale
101,North,Wholesale
102,South,Retail
103,East,Retail
104,West,Retail
105,East,Retail
106,West,Retail
107,Central,Retail
108,South,Retail
109,East,Retail
110,East,Wholesale
111,North,Wholesale
112,Central,Wholesale
113,South,Retail
114,North,Retail
115,East,Wholesale
116,West,Wholesale
117,North,Wholesale
118,East,Retail
119,West,Wholesale
120,Central,Retail
121,West,Retail
122,South,Retail
123,North,Retail
124,West,Retail
125,North,Retail
126,West,Retail
127,South,Retail
128,West,Wholesale
129,South,Retail
130,East,Retail
131,West,Retail
132,South,Wholesale
133,East,Retail
134,South,Retail
135,North,Retail
136,North,Retail
137,South,Retail
138,South,Retail
139,East,Retail
140,Central,Retail
141,North,Retail
142,North,Retail
143,East,Retail
144,North,Retail
145,East,Retail
146,West,Retail
147,East,Retail
148,Central,Retail
149,South,Retail
150,West,Retail
151,North,Retail
152,West,Retail
153,North,Retail
154,East,Retail
155,North,Retail
156,East,Retail
157,South,Retail
158,North,Retail
159,South,Retail
160,North,Wholesale
161,North,Retail
162,Central,Retail
163,Central,Retail
164,West,Retail
165,North,Retail
166,West,Retail
167,South,Retail
168,East,Retail
169,East,Retail
170,Central,Retail
171,Central,Retail
172,West,Retail
173,Central,Retail
174,North,Retail
175,North,Wholesale
176,South,Retail
177,Central,Retail
178,East,Wholesale
179,West,Retail
180,East,Retail
181,South,Wholesale
182,South,Retail
183,West,Retail
184,Central,Retail
185,East,Wholesale
186,East,Wholesale
187,West,Wholesale
188,East,Retail
189,East,Retail
190,South,Wholesale
191,Central,Retail
192,West,Retail
193,North,Retail
194,West,Retail
195,East,Retail
196,North,Retail
197,Central,Wholesale
198,North,Retail
199,Central,Wholesale
200,East,Retail
201,South,Retail
202,West,Retail
203,South,Retail
204,West,Retail
205,West,Retail
206,South,Retail
207,Central,Retail
208,Central,Wholesale
209,Central,Wholesale
210,South,Wholesale
211,North,Retail
212,South,Retail
213,East,Retail
214,West,Retail
215,Central,Retail
216,Central,Retail
217,East,Retail
218,South,Retail
219,East,Retail
220,South,Wholesale
221,East,Wholesale
222,West,Retail
223,East,Wholesale
224,North,Retail
225,Central,Retail
226,West,Retail
227,East,Retail
228,North,Retail
229,East,Retail
230,South,Retail
231,North,Retail
232,South,Retail
233,North,Retail
234,West,Retail
235,Central,Retail
236,North,Wholesale
237,East,Wholesale
238,South,Wholesale
239,Central,Wholesale
240,South,Retail
241,East,Wholesale
242,South,Retail
243,Central,Retail
244,East,Wholesale
245,South,Retail
246,Central,Retail
247,Central,Retail
248,North,Retail
249,Central,Retail
250,North,Retail
251,South,Wholesale
252,North,Retail
253,Central,Retail
254,North,Retail
255,Central,Wholesale
256,Central,Retail
257,North,Retail
258,West,Retail
259,South,Retail
260,Central,Retail
261,Central,Retail
262,Central,Wholesale
263,North,Retail
264,Central,Retail
265,West,Retail
266,North,Retail
267,North,Retail
268,East,Retail
269,West,Wholesale
270,North,Retail
271,West,Retail
272,North,Retail
273,South,Retail
274,East,Retail
275,North,Retail
276,East,Wholesale
277,Central,Retail
278,Central,Wholesale
279,West,Retail
280,North,Retail
281,East,Retail
282,East,Retail
283,West,Retail
284,North,Retail
285,South,Retail
286,East,Retail
287,Central,Wholesale
288,East,Wholesale
289,Central,Retail
290,Central,Retail
291,North,Retail
292,East,Retail
293,Central,Retail
294,East,Retail
295,East,Retail
296,Central,Retail
297,West,Retail
298,South,Retail
299,West,Retail
300,North,Retail
301,South,Wholesale
302,South,Retail
303,North,Retail
304,North,Wholesale
305,West,Retail
306,East,Retail
307,West,Retail
308,East,Wholesale
309,North,Retail
310,West,Retail
311,North,Retail
312,Central,Retail
313,Central,Retail
314,North,Retail
315,North,Retail
316,Central,Wholesale
317,North,Retail
318,East,Retail
319,Central,Retail
320,Central,Wholesale
321,East,Retail
322,North,Retail
323,North,Retail
324,East,Retail
325,South,Wholesale
326,West,Retail
327,East,Retail
328,Central,Retail
329,North,Retail
330,Central,Wholesale
331,West,Retail
332,North,Retail
333,North,Retail
334,Central,Retail
335,East,Retail
336,East,Retail
337,West,Wholesale
338,South,Retail
339,North,Wholesale
340,West,Wholesale
341,Central,Retail
342,South,Retail
343,East,Retail
344,Central,Retail
345,North,Retail
346,North,Retail
347,West,Wholesale
348,Central,Retail
349,East,Retail
350,East,Retail
351,West,Retail
352,East,Retail
353,South,Retail
354,East,Retail
355,West,Retail
356,Central,Retail
357,East,Retail
358,Central,Retail
359,North,Retail
360,South,Wholesale
361,North,Retail
362,South,Retail
363,North,Retail
364,West,Retail
365,Central,Retail
366,North,Wholesale
367,South,Retail
368,East,Wholesale
369,West,Retail
370,South,Retail
371,Central,Wholesale
372,North,Wholesale
373,West,Retail
374,Central,Retail
375,North,Wholesale
376,West,Retail
377,Central,Retail
378,Central,Retail
379,East,Retail
380,South,Retail
381,Central,Retail
382,Central,Retail
383,West,Retail
384,North,Retail
385,South,Retail
386,North,Retail
387,Central,Retail
388,North,Retail
389,East,Retail
390,West,Retail
391,West,Wholesale
392,West,Wholesale
393,South,Retail
394,West,Retail
395,Central,Wholesale
396,East,Retail
397,North,Wholesale
398,East,Retail
399,South,Retail
400,North,Wholesale
401,North,Retail
402,South,Retail
403,South,Wholesale
404,South,Retail
405,South,Retail
406,North,Wholesale
407,East,Retail
408,North,Wholesale
409,South,Retail
410,Central,Retail
411,Central,Wholesale
412,West,Wholesale
413,South,Retail
414,South,Retail
415,Central,Retail
416,North,Retail
417,North,Wholesale
418,West,Retail
419,East,Retail
420,North,Retail
421,North,Retail
422,West,Retail
423,West,Retail
424,Central,Retail
425,North,Retail
426,South,Retail
427,West,Retail
428,North,Retail
429,North,Wholesale
430,East,Retail
431,Central,Wholesale
432,East,Retail
433,Central,Retail
434,West,Retail
435,North,Retail
436,South,Retail
437,East,Retail
438,South,Wholesale
439,Central,Retail
440,West,Wholesale
441,East,Retail
442,West,Retail
443,West,Wholesale
444,Central,Retail
445,Central,Retail
446,South,Retail
447,South,Retail
448,North,Retail
449,South,Wholesale
450,North,Retail
451,West,Retail
452,North,Wholesale
453,East,Wholesale
454,East,Retail
455,West,Retail
456,South,Retail
457,South,Wholesale
458,North,Wholesale
459,North,Retail
460,Central,Retail
461,East,Retail
462,Central,Wholesale
463,West,Retail
464,East,Retail
465,Central,Retail
466,West,Retail
467,East,Retail
468,Central,Retail
469,West,Wholesale
470,South,Retail
471,West,Retail
472,Central,Retail
473,South,Retail
474,North,Retail
475,West,Retail
476,East,Retail
477,Central,Retail
478,East,Retail
479,Central,Retail
480,Central,Retail
481,Central,Retail
482,South,Retail
483,North,Retail
484,East,Wholesale
485,North,Retail
486,East,Retail
487,North,Retail
488,South,Retail
489,South,Retail
490,Central,Retail
491,Central,Retail
492,South,Retail
493,North,Retail
494,North,Wholesale
495,North,Retail
496,Central,Retail
497,East,Wholesale
498,South,Retail
499,East,Retail
500,North,Retail
501,North,Retail
502,South,Retail
503,Central,Retail
504,West,Retail
505,South,Retail
506,West,Retail
507,East,Retail
508,North,Retail
509,West,Retail
510,Central,Retail
511,East,Retail
512,East,Wholesale
513,Central,Retail
514,Central,Retail
515,North,Retail
516,North,Retail
517,North,Retail
518,South,Retail
519,East,Retail
520,East,Retail
521,East,Wholesale
522,South,Retail
523,West,Wholesale
524,East,Wholesale
525,Central,Retail
526,North,Wholesale
527,East,Wholesale
528,North,Retail
529,South,Retail
530,North,Retail
531,North,Retail
532,North,Wholesale
533,South,Retail
534,East,Retail
535,Central,Retail
536,North,Retail
537,East,Retail
538,Central,Wholesale
539,East,Wholesale
540,South,Retail
541,West,Retail
542,Central,Retail
543,West,Wholesale
544,North,Retail
545,East,Retail
546,North,Retail
547,East,Retail
548,West,Retail
549,East,Wholesale
550,South,Retail
551,North,Retail
552,West,Retail
553,West,Retail
554,West,Wholesale
555,East,Retail
556,South,Retail
557,North,Retail
558,East,Wholesale
559,East,Retail
560,East,Retail
561,Central,Retail
562,Central,Wholesale
563,Central,Retail
564,West,Wholesale
565,West,Retail
566,North,Retail
567,North,Wholesale
568,East,Retail
569,North,Retail
570,North,Wholesale
571,West,Retail
572,North,Retail
573,West,Wholesale
574,North,Retail
575,West,Wholesale
576,North,Wholesale
577,North,Retail
578,West,Retail
579,West,Retail
580,West,Retail
581,East,Retail
582,East,Wholesale
583,East,Wholesale
584,South,Retail
585,East,Retail
586,West,Retail
587,East,Wholesale
588,West,Retail
589,North,Retail
590,North,Wholesale
591,South,Retail
592,East,Retail
593,North,Wholesale
594,South,Retail
595,West,Retail
596,East,Retail
597,North,Retail
598,West,Retail
599,Central,Retail
600,West,Retail
601,South,Retail
602,West,Retail
603,Central,Retail
604,West,Retail
605,South,Retail
606,South,Retail
607,West,Retail
608,South,Retail
609,East,Retail
610,North,Retail
611,Central,Retail
612,West,Wholesale
613,North,Retail
614,West,Wholesale
615,East,Retail
616,East,Retail
617,Central,Retail
618,Central,Retail
619,Central,Retail
620,East,Retail
621,North,Wholesale
622,North,Retail
623,Central,Retail
624,South,Retail
625,East,Wholesale
626,West,Retail
627,East,Retail
628,West,Wholesale
629,South,Retail
630,North,Wholesale
631,North,Retail
632,West,Retail
633,Central,Retail
634,North,Retail
635,South,Wholesale
636,Central,Retail
637,Central,Retail
638,North,Wholesale
639,East,Retail
640,Central,Retail
641,North,Retail
642,North,Retail
643,West,Wholesale
644,Central,Retail
645,West,Wholesale
646,South,Wholesale
647,Central,Wholesale
648,West,Retail
649,North,Retail
650,West,Retail
651,East,Retail
652,North,Wholesale
653,North,Wholesale
654,East,Retail
655,Central,Retail
656,East,Retail
657,West,Retail
658,South,Retail
659,South,Retail
660,North,Retail
661,East,Retail
662,North,Wholesale
663,East,Retail
664,East,Retail
665,West,Retail
666,South,Retail
667,West,Retail
668,North,Retail
669,Central,Retail
670,West,Retail
671,North,Retail
672,South,Retail
673,North,Retail
674,West,Wholesale
675,East,Retail
676,Central,Retail
677,West,Retail
678,Central,Retail
679,North,Wholesale
680,North,Retail
681,Central,Retail
682,East,Retail
683,South,Retail
684,East,Retail
685,East,Retail
686,West,Wholesale
687,South,Retail
688,Central,Retail
689,West,Retail
690,South,Retail
691,South,Retail
692,West,Retail
693,South,Retail
694,West,Retail
