inventory_id,product_id,warehouse_id,supplier_id,opening_stock,closing_stock
1,1,3,182,127,0
2,2,6,175,1210,906
3,3,3,83,1987,1465
4,4,3,22,1085,353
5,5,1,189,649,382
6,6,3,104,1416,539
7,7,4,168,217,0
8,8,2,116,130,0
9,9,1,103,1812,835
10,10,2,188,753,621
11,11,5,136,390,0
12,12,5,72,726,128
13,13,6,68,869,610
14,14,4,85,1985,692
15,15,5,200,684,352
16,16,1,123,1024,706
17,17,6,72,843,412
18,18,4,145,1496,1223
19,19,2,101,908,0
20,20,6,188,342,0
21,21,2,78,1091,17
22,22,1,164,1431,1402
23,23,1,124,1434,964
24,24,3,29,229,0
25,25,4,162,1787,405
26,26,3,41,1882,1076
27,27,5,119,115,0
28,28,6,71,1585,1467
29,29,1,118,1851,1797
30,30,1,67,307,0
31,31,4,50,229,0
32,32,3,85,1563,1128
33,33,5,146,1069,380
34,34,2,2,1809,915
35,35,6,9,1024,539
36,36,3,7,1380,525
37,37,4,89,1647,465
38,38,4,85,148,0
39,39,4,33,224,0
40,40,3,165,464,392
41,41,4,90,1012,794
42,42,6,99,1474,1278
43,43,2,65,1236,1009
44,44,5,159,426,0
45,45,6,28,1736,1084
46,46,4,28,1972,690
47,47,5,157,1131,827
48,48,4,200,1559,1365
49,49,3,179,1568,1133
50,50,1,155,642,0
51,51,3,146,363,0
52,52,2,123,1355,658
53,53,5,155,1282,276
54,54,3,139,1422,689
55,55,1,102,532,3
56,56,2,95,453,0
57,57,5,132,1085,421
58,58,5,166,1657,492
59,59,5,90,548,0
60,60,4,177,1696,1000
61,61,2,69,1201,1171
62,62,2,141,305,0
63,63,4,107,1491,1045
64,64,3,74,1897,1070
65,65,5,79,825,391
66,66,3,47,1841,363
67,67,6,11,1973,1948
68,68,6,85,168,8
69,69,1,59,1679,1297
70,70,2,168,910,0
71,71,6,42,324,64
72,72,1,192,1652,671
73,73,3,148,1464,733
74,74,2,144,1794,540
75,75,5,115,988,0
76,76,6,62,1987,995
77,77,6,8,1917,1762
78,78,4,111,1957,1003
79,79,3,1,1530,371
80,80,1,40,728,0
81,81,1,79,633,630
82,82,4,129,226,0
83,83,1,10,687,0
84,84,2,49,1322,977
85,85,5,80,405,0
86,86,5,137,1642,1348
87,87,1,141,1410,641
88,88,6,102,1740,1026
89,89,4,166,1474,663
90,90,6,172,747,0
91,91,3,14,541,0
92,92,3,174,1050,238
93,93,2,161,638,0
94,94,1,146,598,0
95,95,4,39,554,0
96,96,3,105,281,0
97,97,6,104,1922,641
98,98,4,13,308,0
99,99,5,155,1895,1291
100,100,4,50,1601,1501
101,101,3,70,1061,508
102,102,6,79,945,795
103,103,5,199,815,721
104,104,2,107,1305,5
105,105,6,13,587,0
106,106,6,117,1055,0
107,107,5,154,186,0
108,108,2,101,1525,1063
109,109,2,72,1417,1197
110,110,1,63,1549,583
111,111,3,98,1822,711
112,112,4,86,1025,315
113,113,5,110,684,308
114,114,3,9,913,377
115,115,6,145,983,173
116,116,1,183,1495,312
117,117,5,12,604,0
118,118,1,159,1248,195
119,119,6,146,369,0
120,120,5,130,1208,0
121,121,2,94,324,0
122,122,1,31,1194,0
123,123,5,42,232,0
124,124,4,110,1261,1147
125,125,3,100,852,605
126,126,2,150,955,536
127,127,1,90,663,119
128,128,4,81,1445,446
129,129,5,136,299,0
130,130,3,155,930,0
131,131,5,102,600,0
132,132,3,66,1179,975
133,133,6,199,1710,500
134,134,1,58,660,0
135,135,6,103,850,0
136,136,2,11,1944,1635
137,137,4,199,196,0
138,138,1,200,1620,1398
139,139,5,152,377,0
140,140,4,132,752,0
141,141,4,20,1744,1715
142,142,4,107,1560,776
143,143,6,170,1488,557
144,144,5,80,1257,293
145,145,5,176,1810,1172
146,146,1,50,927,65
147,147,3,149,286,0
148,148,6,103,1684,1239
