product_id,sku_code,category,brand,unit_cost,selling_price
1,SKU-000001,Sports,BrandB,1562.5,3014.66
2,SKU-000002,Apparel,BrandD,2352.62,4525.95
3,SKU-000003,Grocery,BrandA,901.92,1444.01
4,SKU-000004,Grocery,BrandB,1154.75,2071.75
5,SKU-000005,Sports,BrandD,3113.63,4375.21
6,SKU-000006,Apparel,BrandA,1352.86,1734.37
7,SKU-000007,Electronics,BrandD,1128.25,1687.9
8,SKU-000008,Apparel,BrandA,2519.7,4740.14
9,SKU-000009,Home,BrandB,2108.04,3323.28
10,SKU-000010,Home,BrandC,1997.71,3838.83
11,SKU-000011,Electronics,BrandB,2655.62,5097.27
12,SKU-000012,Sports,BrandA,4283.16,6584.6
13,SKU-000013,Electronics,BrandB,109.59,154.15
14,SKU-000014,Sports,BrandD,5813.59,11021.3
15,SKU-000015,Electronics,BrandE,1359.69,1912.49
16,SKU-000016,Grocery,BrandA,2890.73,5620.56
17,SKU-000017,Home,BrandA,1297.06,2077.06
18,SKU-000018,Grocery,BrandD,993.56,1973.24
19,SKU-000019,Sports,BrandB,2296.24,3054.61
20,SKU-000020,Sports,BrandB,4552.79,8221.61
21,SKU-000021,Beauty,BrandE,3863.33,7701.38
22,SKU-000022,Electronics,BrandE,5212.73,6789.15
23,SKU-000023,Electronics,BrandE,5494.41,8641.84
24,SKU-000024,Beauty,BrandC,3246.28,5734.27
25,SKU-000025,Electronics,BrandB,631.9,1049.15
26,SKU-000026,Grocery,BrandC,1193.92,1516.33
27,SKU-000027,Beauty,BrandD,590.4,846.77
28,SKU-000028,Electronics,BrandA,2228.92,3205.28
29,SKU-000029,Home,BrandB,5400.87,7270.91
30,SKU-000030,Electronics,BrandE,2522.13,3568.2
31,SKU-000031,Apparel,BrandD,3728.52,5952.58
32,SKU-000032,Sports,BrandE,5311.56,8993.67
33,SKU-000033,Apparel,BrandD,4707.26,7302.41
34,SKU-000034,Grocery,BrandC,5365.36,9059.2
35,SKU-000035,Grocery,BrandD,3326.57,6028.76
36,SKU-000036,Electronics,BrandB,4969.29,7686.99
37,SKU-000037,Grocery,BrandC,1762.58,2247.25
38,SKU-000038,Electronics,BrandB,126.01,159.02
39,SKU-000039,Apparel,BrandA,5462.41,10507.2
