po_id,product_id,supplier_id,order_date,order_qty
1,1818,49,02-12-2022,606
2,5249,81,17-11-2023,1283
3,2108,145,16-03-2023,1136
4,4826,167,28-05-2023,115
5,6777,101,17-07-2023,1432
6,2973,22,27-10-2022,491
7,691,30,26-09-2023,639
8,9291,30,19-11-2022,1556
9,3140,43,14-01-2023,923
10,2702,69,07-12-2022,1929
11,7698,164,28-11-2023,217
12,4186,193,05-06-2023,1581
13,3477,43,14-04-2023,456
14,4124,96,07-11-2022,1787
15,1176,147,03-08-2023,1802
16,5145,118,23-02-2023,1455
17,5134,159,12-12-2022,689
18,1886,188,30-08-2023,1943
19,681,57,10-02-2023,74
20,5378,24,21-09-2023,294
21,7365,131,22-06-2023,1532
22,10811,87,06-12-2022,629
23,3353,43,19-09-2023,1750
24,4338,3,01-07-2023,954
25,2393,133,06-01-2023,639
26,11581,110,30-03-2023,483
27,7046,165,20-10-2022,629
28,1291,179,10-05-2023,1612
29,947,139,06-01-2023,1498
30,2773,55,20-04-2023,245
31,11756,189,11-01-2023,589
32,4432,109,16-06-2023,1089
33,6678,166,19-10-2023,152
34,3839,78,05-10-2022,828
35,7373,69,28-10-2023,74
36,11045,10,09-10-2023,196
37,729,49,15-09-2023,1179
38,2686,170,01-10-2023,1745
39,1751,160,25-10-2022,851
40,821,8,26-10-2022,1498
41,6438,106,29-05-2023,708
42,9506,47,06-10-2023,454
43,3819,62,19-10-2023,1904
44,3365,75,18-05-2023,1693
45,6253,10,02-06-2023,1944
46,3853,6,15-06-2023,1333
47,5624,179,06-07-2023,1948
48,3016,112,06-07-2023,367
49,10861,126,17-09-2023,439
50,1037,110,17-01-2023,683
51,6744,134,16-05-2023,1140
52,1808,92,20-09-2023,1929
53,4314,2,01-03-2023,59
54,9721,83,06-03-2023,1743
55,2922,42,02-11-2023,215
56,3971,60,18-08-2023,345
57,3806,95,17-09-2023,1641
58,5362,40,26-11-2023,351
59,10095,95,01-12-2023,1503
60,3641,98,24-12-2022,284
61,10028,80,17-10-2023,1285
62,1516,86,04-03-2023,327
63,1456,87,16-12-2022,873
64,6198,33,07-10-2023,1134
65,5254,2,06-10-2022,198
66,5359,24,17-04-2023,1327
67,8260,144,04-10-2023,849
68,3197,157,06-05-2023,866
69,10628,25,17-07-2023,446
70,7553,5,18-07-2023,1353
71,2459,115,03-06-2023,1837
72,11047,10,04-10-2022,1001
73,3171,47,08-06-2023,885
74,2671,75,08-03-2023,1917
75,2137,75,10-10-2023,979
76,169,142,02-04-2023,64
77,4421,3,26-12-2022,145
78,8872,68,20-01-2023,1195
79,11379,170,24-12-2022,888
80,10927,55,21-10-2022,521
81,6609,155,05-11-2022,573
82,10259,117,07-03-2023,1118
83,8072,109,19-07-2023,1979
84,3017,102,14-06-2023,1289
85,857,42,29-09-2023,461
86,5416,188,26-11-2023,1285
87,4999,55,28-08-2023,1566
88,7664,132,27-12-2022,1968
89,10312,42,24-11-2023,1189
90,1455,53,24-04-2023,336
91,5485,8,16-08-2023,1077
92,11167,152,06-06-2023,641
93,9442,82,11-11-2023,542
94,9509,81,10-08-2023,1592
95,4774,116,12-12-2022,1511
96,2627,132,09-08-2023,1508
97,11019,125,07-05-2023,682
98,6556,101,05-02-2023,873
99,4957,128,04-12-2022,668
100,10237,61,19-10-2022,407
101,10294,32,15-09-2023,637
102,8385,91,09-03-2023,1314
103,5648,81,02-06-2023,978
104,5050,130,20-08-2023,1043
105,11711,148,27-10-2023,156
106,9946,90,30-11-2023,754
107,125,63,28-02-2023,1329
108,2167,109,13-08-2023,571
109,8581,131,19-10-2023,508
110,9105,31,29-11-2023,1478
111,9870,16,08-10-2022,1969
112,11932,195,16-05-2023,101
113,11401,119,25-12-2022,1440
114,2472,84,28-05-2023,1827
115,2439,155,16-11-2023,1427
116,7776,9,11-06-2023,1173
117,8395,166,13-11-2023,157
118,11001,111,09-05-2023,1729
119,3351,2,01-01-2023,1651
120,9948,111,12-11-2022,595
121,9809,171,07-12-2022,1700
122,6771,11,30-11-2022,777
123,3217,23,01-06-2023,656
124,9156,39,05-04-2023,1838
125,11823,111,08-07-2023,599
126,7070,44,15-03-2023,1722
127,1901,154,19-08-2023,397
128,2651,164,17-07-2023,1137
129,5273,67,17-03-2023,1844
130,670,148,06-08-2023,949
131,2173,39,29-08-2023,1780
132,11577,185,10-09-2023,1285
133,7835,69,28-02-2023,1940
134,4162,180,09-06-2023,228
135,11444,4,29-11-2023,119
136,9312,91,08-11-2022,1013
137,2826,126,26-03-2023,659
138,3527,168,25-09-2023,1188
139,5562,56,01-05-2023,939
140,7651,46,06-02-2023,1714
141,7313,104,19-05-2023,161
142,4579,110,18-10-2023,976
143,9346,100,15-10-2023,1323
144,5887,44,13-04-2023,635
145,6613,27,28-05-2023,909
146,41,64,03-08-2023,282
147,11079,172,18-10-2022,587
148,9353,47,14-10-2022,1071
149,6825,104,11-05-2023,1705
150,9059,6,27-06-2023,1912
151,10031,165,20-05-2023,405
152,1542,174,29-12-2022,379
153,11391,47,20-11-2022,1864
154,4088,18,09-03-2023,1162
155,2561,178,19-08-2023,1421
156,6664,5,05-10-2023,1480
157,7059,178,30-03-2023,1929
158,2394,142,05-07-2023,1238
159,78,123,09-09-2023,1799
160,3738,200,27-02-2023,1176
161,10881,78,13-11-2022,741
162,923,126,02-04-2023,1037
163,373,176,20-06-2023,1821
164,10289,186,22-06-2023,950
165,6707,83,30-08-2023,1304
166,6217,3,31-01-2023,446
167,4819,75,18-07-2023,825
168,2438,19,16-04-2023,890
169,11107,78,23-10-2022,1927
170,2793,50,19-01-2023,1438
171,6097,196,24-03-2023,1251
172,5846,171,09-08-2023,1114
173,7185,190,05-07-2023,119
174,9147,37,18-06-2023,168
175,4009,7,09-08-2023,1055
176,9568,56,23-07-2023,1943
177,11463,174,11-10-2023,1321
178,2755,137,14-04-2023,134
179,4398,130,17-04-2023,1214
180,2580,112,15-03-2023,1971
181,3534,131,05-12-2023,1715
182,7786,119,13-09-2023,167
183,11237,32,02-11-2022,1445
184,11088,65,12-01-2023,1276
185,500,117,21-03-2023,757
186,6323,177,02-09-2023,488
187,11018,81,17-06-2023,1321
188,1615,6,01-11-2022,375
189,614,192,23-06-2023,1528
190,6283,14,30-10-2023,1451
191,7813,66,17-01-2023,1609
192,2922,1,27-07-2023,1327
193,9867,137,19-08-2023,750
194,3014,45,30-12-2022,744
195,1940,81,25-09-2023,1210
196,8797,96,13-07-2023,1520
197,6537,148,12-10-2022,1379
198,5929,164,25-04-2023,1089
199,3949,172,24-05-2023,56
200,1902,102,24-07-2023,944
201,5245,46,07-08-2023,1937
202,3607,155,31-08-2023,286
203,6675,158,17-04-2023,477
204,898,179,21-10-2022,256
205,264,30,02-06-2023,1220
206,7457,49,08-11-2022,907
207,5693,73,03-10-2023,914
208,11370,147,10-10-2022,926
209,5623,76,20-10-2023,1961
210,8275,114,16-09-2023,256
211,5171,169,22-01-2023,1137
212,2222,122,06-02-2023,531
213,7957,160,15-11-2022,1425
214,2009,148,08-02-2023,1118
215,941,6,21-02-2023,978
216,10401,8,10-02-2023,205
217,10078,185,29-09-2023,534
218,731,170,21-12-2023,465
219,1913,19,12-03-2023,1372
220,11235,59,09-02-2023,825
221,8199,24,26-06-2023,1169
222,4906,57,29-08-2023,1255
223,2891,38,08-12-2022,1465
224,7996,35,27-10-2022,1833
225,7340,24,12-11-2023,776
226,1795,14,08-11-2022,896
227,4444,165,09-07-2023,149
228,1623,22,19-06-2023,768
229,7338,98,15-08-2023,1045
230,6073,133,21-08-2023,386
231,7742,46,26-10-2022,150
232,11547,127,08-03-2023,138
233,9899,109,17-08-2023,825
234,10942,72,14-10-2022,1340
235,974,13,30-12-2022,1612
236,11412,123,17-01-2023,965
237,8289,148,01-12-2023,712
238,4001,70,26-06-2023,1641
239,1359,43,21-08-2023,1873
240,8133,138,26-04-2023,480
241,3508,32,07-12-2023,197
242,1253,192,10-03-2023,696
243,9282,88,11-01-2023,104
244,10162,57,12-12-2022,1830
245,9232,178,07-06-2023,949
246,3544,11,21-12-2022,517
247,6892,32,23-08-2023,894
248,7358,86,17-06-2023,399
249,6017,110,16-08-2023,1219
250,7026,183,28-02-2023,1810
251,7695,71,01-12-2022,679
252,5224,117,30-11-2022,508
253,5795,75,12-10-2023,716
254,5422,138,25-10-2022,1015
255,447,146,26-02-2023,579
256,8433,25,20-07-2023,1993
257,2032,62,20-02-2023,1778
258,7903,106,27-05-2023,1136
259,10588,177,22-11-2022,649
260,2530,182,21-02-2023,1421
261,2502,197,31-03-2023,70
262,11778,45,24-04-2023,881
263,5317,11,15-11-2022,189
264,11395,189,09-10-2022,1972
265,11183,104,22-05-2023,821
266,1846,168,09-01-2023,488
267,1300,171,26-07-2023,1603
268,7608,118,23-11-2023,289
269,2727,173,02-07-2023,829
270,1047,30,15-09-2023,648
271,4909,120,06-07-2023,157
272,11551,68,29-10-2022,989
273,9867,60,07-04-2023,1208
274,8626,58,21-11-2023,1748
275,4215,28,24-10-2022,665
276,11939,27,09-06-2023,336
277,7530,159,16-04-2023,970
278,1993,136,13-01-2023,1386
279,9502,19,20-10-2022,1419
280,11846,16,24-04-2023,900
281,5184,24,06-10-2023,338
282,9663,38,21-08-2023,1456
283,148,174,14-02-2023,804
284,8450,69,03-03-2023,1356
285,6685,85,31-01-2023,1895
286,9981,197,21-05-2023,1777
287,11059,171,08-03-2023,1648
288,9947,5,22-11-2023,190
289,7671,197,05-12-2022,1921
290,2916,53,17-11-2023,1192
291,6843,25,16-06-2023,1728
292,2492,128,21-03-2023,1223
293,4747,85,08-03-2023,729
294,4192,18,15-12-2022,397
295,9451,164,13-10-2023,223
296,4316,198,31-03-2023,877
297,6753,189,25-06-2023,133
298,5114,191,02-10-2022,1591
299,5725,39,26-04-2023,1114
300,423,108,22-10-2022,534
301,4494,175,29-10-2023,320
302,10480,160,11-04-2023,400
303,2679,44,01-10-2023,466
304,5522,84,16-04-2023,946
305,9822,117,03-01-2023,58
306,10204,84,26-02-2023,1596
307,3308,104,22-11-2023,1283
308,3990,136,04-09-2023,1450
309,757,170,18-01-2023,1974
310,7084,54,10-12-2022,1772
311,1815,21,23-02-2023,90
312,5915,49,25-09-2023,595
313,1317,168,11-02-2023,428
314,1474,10,10-09-2023,803
315,3896,119,30-08-2023,301
316,8992,56,11-05-2023,1133
317,11015,13,18-06-2023,1229
318,1835,123,28-01-2023,139
319,3615,40,23-04-2023,890
320,9892,64,05-10-2022,568
321,5852,107,27-09-2023,1850
322,1522,117,02-12-2022,130
323,11465,22,18-02-2023,1982
324,4050,49,22-12-2022,776
325,10354,65,27-11-2023,554
326,8814,41,18-04-2023,580
327,558,70,04-11-2023,1704
328,2849,88,04-06-2023,1323
329,7178,12,04-10-2023,1483
330,8230,90,30-10-2022,179
331,6604,53,12-11-2023,1964
332,5331,115,16-03-2023,774
333,1075,132,08-10-2023,605
334,11789,50,07-01-2023,1033
335,3283,179,20-11-2023,1135
336,5833,134,02-06-2023,436
337,11784,27,14-04-2023,1877
338,3128,24,03-10-2022,1472
339,11690,180,25-11-2022,1926
340,7314,146,16-07-2023,1271
341,6549,53,25-04-2023,525
342,221,188,15-11-2022,243
343,9574,129,07-10-2023,259
344,9275,120,30-12-2022,604
345,297,150,13-04-2023,901
346,11286,138,30-11-2023,70
347,5486,122,07-08-2023,1502
348,7725,35,07-10-2022,1580
349,3403,63,11-06-2023,1636
350,3688,33,14-12-2022,518
351,7387,5,06-04-2023,124
352,1672,123,05-04-2023,303
353,5991,184,11-12-2022,1936
354,2581,5,02-01-2023,815
355,2106,78,20-09-2023,1512
356,6567,16,01-03-2023,1334
357,8640,105,01-02-2023,1279
358,8279,53,15-02-2023,626
359,458,60,06-05-2023,619
360,7603,149,25-08-2023,368
361,7549,99,29-10-2022,1981
362,11247,83,03-05-2023,1194
363,2249,29,27-04-2023,456
364,11302,73,11-11-2022,1403
365,1352,85,23-10-2022,1807
366,9507,129,17-09-2023,1523
367,7875,117,19-03-2023,1132
368,2567,68,04-02-2023,1779
369,6928,166,08-04-2023,1594
370,7543,110,19-10-2022,757
371,6665,136,13-04-2023,1581
372,4140,108,17-04-2023,522
373,5371,116,10-03-2023,661
374,5945,75,22-12-2022,137
375,438,103,09-02-2023,969
376,7512,83,02-10-2022,1979
377,10905,9,25-11-2022,1421
378,7874,86,18-10-2022,1667
379,1903,145,25-05-2023,868
380,2081,69,11-11-2022,1516
381,10526,135,17-11-2023,635
382,11848,172,24-10-2022,1808
383,3000,144,04-02-2023,1062
384,1528,172,07-02-2023,1275
385,10697,155,12-12-2022,1514
386,7890,45,18-09-2023,794
387,11955,191,14-11-2022,1066
388,10453,29,30-11-2022,1491
389,6045,8,22-04-2023,1364
390,6518,20,18-06-2023,1356
391,11357,191,26-09-2023,1313
392,11338,167,23-02-2023,858
393,8408,133,27-08-2023,938
394,5392,152,30-03-2023,696
395,10467,166,21-03-2023,927
396,4706,125,17-10-2023,651
397,1487,118,30-03-2023,588
398,10598,173,29-01-2023,1082
