return_id,sale_id,return_reason,return_date
1,227304,Customer Return,01-09-2023
2,25197,Customer Return,17-01-2023
3,164103,Expired,07-10-2023
4,142459,Damaged,19-08-2023
5,69583,Wrong Item,01-09-2023
6,103823,Wrong Item,24-11-2023
7,2203,Customer Return,21-02-2023
8,152848,Customer Return,22-09-2023
9,83786,Wrong Item,04-07-2023
10,31371,Expired,04-02-2023
11,174681,Customer Return,14-10-2023
12,224534,Damaged,28-11-2023
13,21851,Customer Return,16-07-2023
14,135132,Damaged,14-10-2023
15,116140,Wrong Item,10-05-2023
16,5704,Damaged,17-01-2023
17,29961,Expired,24-10-2023
18,59725,Damaged,29-01-2023
19,115913,Damaged,10-07-2023
20,205189,Wrong Item,26-04-2023
21,65967,Wrong Item,19-05-2023
22,134418,Customer Return,07-04-2023
23,240787,Wrong Item,04-04-2023
24,173162,Expired,06-04-2023
25,235225,Wrong Item,09-05-2023
26,221136,Customer Return,06-10-2023
27,157964,Customer Return,22-02-2023
28,128892,Wrong Item,20-04-2023
29,142166,Damaged,05-08-2023
30,124511,Expired,05-12-2023
31,9468,Wrong Item,15-11-2023
32,155431,Customer Return,23-08-2023
33,97396,Damaged,12-03-2023
34,237122,Expired,17-02-2023
35,213769,Damaged,04-02-2023
36,148257,Expired,22-11-2023
37,229081,Customer Return,11-01-2023
38,133466,Customer Return,26-03-2023
39,50006,Wrong Item,10-10-2023
40,51371,Wrong Item,25-08-2023
41,249144,Wrong Item,18-01-2023
42,164385,Wrong Item,04-03-2023
43,114503,Damaged,10-08-2023
44,69816,Wrong Item,26-12-2023
45,12586,Customer Return,01-09-2023
46,77668,Damaged,23-02-2023
47,73988,Customer Return,29-11-2023
48,186123,Wrong Item,07-12-2023
49,84533,Wrong Item,25-09-2023
50,191661,Wrong Item,19-11-2023
51,236103,Wrong Item,05-04-2023
52,247012,Damaged,09-08-2023
53,12431,Wrong Item,30-04-2023
54,32389,Customer Return,11-10-2023
55,193096,Damaged,27-05-2023
56,147593,Wrong Item,09-04-2023
57,137509,Wrong Item,03-04-2023
58,127749,Damaged,11-03-2023
59,89359,Customer Return,25-09-2023
60,180964,Damaged,01-09-2023
61,2948,Damaged,05-09-2023
62,236090,Expired,20-06-2023
63,217257,Customer Return,04-07-2023
64,16262,Customer Return,21-07-2023
65,200681,Customer Return,28-04-2023
66,28232,Damaged,07-11-2023
67,153507,Damaged,21-11-2023
68,86064,Expired,03-07-2023
69,11030,Expired,17-03-2023
70,49021,Expired,16-01-2023
71,102778,Expired,07-09-2023
72,219317,Damaged,29-11-2023
73,218307,Wrong Item,24-09-2023
74,169323,Expired,22-03-2023
75,164229,Expired,01-04-2023
76,227177,Wrong Item,02-12-2023
77,174951,Damaged,07-05-2023
78,89131,Expired,27-01-2023
79,168948,Damaged,18-05-2023
80,35627,Damaged,17-04-2023
81,214406,Damaged,01-08-2023
82,66188,Wrong Item,11-04-2023
83,106883,Customer Return,23-06-2023
84,173383,Customer Return,16-02-2023
85,136878,Damaged,21-11-2023
86,232089,Wrong Item,12-12-2023
87,145203,Wrong Item,20-06-2023
88,174454,Expired,01-02-2023
89,44768,Customer Return,04-02-2023
90,214424,Expired,23-04-2023
91,167318,Customer Return,24-08-2023
92,144816,Customer Return,20-09-2023
93,78718,Wrong Item,21-09-2023
94,132299,Wrong Item,15-02-2023
95,182175,Damaged,01-03-2023
96,138105,Damaged,17-10-2023
97,116267,Damaged,16-06-2023
98,238606,Customer Return,22-05-2023
99,238864,Expired,28-11-2023
100,34598,Damaged,10-01-2023
101,172392,Wrong Item,17-09-2023
102,44015,Damaged,27-10-2023
103,177156,Expired,08-01-2023
104,246484,Expired,19-07-2023
105,51147,Wrong Item,13-10-2023
106,211541,Expired,28-05-2023
107,97163,Customer Return,31-08-2023
108,59041,Damaged,17-01-2023
109,122035,Damaged,27-09-2023
110,77738,Expired,28-04-2023
111,48884,Expired,13-01-2023
112,159282,Wrong Item,23-01-2023
113,201712,Expired,19-01-2023
114,140738,Customer Return,10-01-2023
115,49051,Damaged,16-05-2023
116,19354,Wrong Item,05-08-2023
117,91373,Customer Return,15-04-2023
118,35658,Expired,15-10-2023
119,154596,Damaged,15-02-2023
120,244287,Damaged,24-08-2023
121,40387,Customer Return,28-02-2023
122,77839,Wrong Item,17-08-2023
123,168347,Wrong Item,20-01-2023
124,86533,Expired,02-05-2023
125,79306,Damaged,04-01-2023
126,194083,Wrong Item,09-05-2023
127,68627,Customer Return,06-10-2023
128,71613,Wrong Item,14-08-2023
129,72529,Wrong Item,31-08-2023
130,249002,Damaged,01-07-2023
131,222130,Customer Return,11-01-2023
132,27082,Expired,24-08-2023
133,248640,Customer Return,16-12-2023
134,49134,Wrong Item,22-02-2023
135,222675,Damaged,11-07-2023
136,239938,Expired,18-08-2023
137,209806,Damaged,22-11-2023
138,56732,Wrong Item,10-07-2023
139,143900,Customer Return,29-12-2023
140,238138,Customer Return,05-11-2023
141,145576,Expired,04-11-2023
142,36159,Wrong Item,22-03-2023
143,175879,Damaged,19-03-2023
144,237737,Customer Return,08-09-2023
145,203743,Customer Return,14-05-2023
146,92032,Customer Return,18-08-2023
147,106163,Wrong Item,03-04-2023
148,188298,Damaged,26-03-2023
149,157290,Expired,11-12-2023
150,86331,Wrong Item,03-01-2023
151,213506,Customer Return,17-11-2023
152,161266,Expired,27-02-2023
153,48778,Wrong Item,09-08-2023
154,104217,Customer Return,30-12-2023
155,211935,Wrong Item,13-07-2023
